"GroupName","GroupId","UsedIn"
"grp_o365_entwickler_vms","663f7ad2-2899-4e35-a0a5-aaf3e87f3208","Configuration Profile / Settings Catalog: WIN-CFG-Default_Apps [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Block_Extension [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Extension_silent_install [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Favorites [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Login&Sync [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Firewall [Exclude] | Configuration Profile / Settings Catalog: WIN-CFG-Firewall_VMs [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Local_Admin [Exclude] | Configuration Profile / Settings Catalog: WIN-CFG-Microsoft_Store_VMs [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Powersettings [Exclude] | Configuration Profile / Settings Catalog: WIN-CFG-Prevent_User_from_Installing_Printer_Driver [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Remote_Access [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Standby_Settings_VMs [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Trusted_Network-Shares [Include] | Configuration Profile / Settings Catalog: WIN-CFG_View_SharePoint_files_with_File_Explorer [Include] | Classic Device Configuration: WIN_CFG-Disable_Cortana [Include] | Classic Device Configuration: Win10 - Entwickler VMs [Include] | Classic Device Configuration: WIN-CFG-AppLocker_EXE [Include] | Classic Device Configuration: WIN-CFG-AppLocker_MSI [Include] | Classic Device Configuration: WIN-CFG-Microsoft_Defender_ATP [Include] | Classic Device Configuration: WIN-CFG-Microsoft_Store [Exclude] | Mobile App: ClickShare [Exclude] <required> | Mobile App: DG Tools [Include] <required> | Mobile App: Nessus Agent [Include] <required> | Mobile App: SwyxIt! 12.41 [Exclude] <available | required | uninstall>"
"Lizenz - Adobe PhotoShop","44d29e49-b500-4b89-8f8c-653c7915f992","Mobile App: Adobe Creative Cloud [Include] <available> | Mobile App: Adobe Photoshop [Include] <available> | Mobile App: Adobe RemoteUpdateManager [Include] <required>"
"<unresolvable>","4f75095a-5378-41b0-95f1-6660d06c7d16","Configuration Profile / Settings Catalog: WIN-CFG-User-Edge_Default_Settings_01 [Exclude]"
"DG-INSCR-RemoveWindowsDesktopRuntime","e2c61e6e-231f-412e-941f-5ad9d1734e17","Device Health Script: RemoveWindowsDesktopRuntime [Include]"
"UG-INSCR-EasyCaptureDeleteDropzone-001-P","af3c9e34-587a-4fb4-8a7b-3dbd1df49f12","Device Health Script: WIN-REM Easy Capture Delete Dropzone [Include]"
"DG-INAPP-CitrixSecureAccess-001-Q","635cba08-e821-422f-ac7c-ef05a0808078","Mobile App: Citrix Secure Access [Include] <available | required> | Mobile App: Citrix Secure Access [Include] <available | required>"
"grp_o365_intune_iOS_Users_BYOD","53fd7290-7e44-400b-bf3c-0604bef33dd6","Classic Device Configuration: Automatic Software Update [Exclude] | Classic Device Configuration: Defalut iOS Device Policy [Exclude] | Classic Device Configuration: DevConf_Prod_iOS_BYOD_DeviceRestriction [Include] | Classic Device Configuration: DevConf_Prod_iOS_BYOD_SSO_AppExtentionPolicy [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_DevicePasscode-BYOD [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-COPE [Exclude] | Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-BYOD [Include] | Mobile App: Company portal [Include] <required> | Mobile App: Microsoft Authenticator [Include] <available | required> | Mobile App: Microsoft Edge [Include] <available | required> | Mobile App: Microsoft Excel [Include] <available> | Mobile App: Microsoft OneDrive [Include] <available | required> | Mobile App: Microsoft OneNote [Include] <available> | Mobile App: Microsoft Outlook [Include] <available | required> | Mobile App: Microsoft PowerPoint [Include] <available> | Mobile App: Microsoft Teams [Include] <available | required> | Mobile App: Microsoft Word [Include] <available> | iOS Managed App Protection: App Protection For Managed iOS Devices [Include]"
"UG_INAPP_PanasonicDriver-001-T","bba2b55f-d712-41e8-91e3-a6ae0056cdc1","Mobile App: Panasonic ISIS-Drivers [Include] <available>"
"UG-INAPP-Uninstall_Cofense","79a6cd6d-36d0-43ba-b0ce-8d1d2c5817d4","Mobile App: Cofense Reporter [Include] <uninstall>"
"DG-IN-DG_Test_Devices","a9153b91-f3de-4f43-a03e-b12be0e9aa8f","Configuration Profile / Settings Catalog: WIN-CFG-Prevent_User_from_Installing_Printer_Driver [Exclude] | Mobile App: Citrix Workspace 2405 [Exclude] <available | required> | Mobile App: Kofax_Power-PDF-Advanced [Include] <available>"
"Lizenz - PrintToPDF Outlook PlugIn","7d25ecf2-b34f-473d-a949-cf33ee17d4ab","Mobile App: SaveAsPDF [Exclude] <available | uninstall>"
"DD-IN-All_Windows_Cloud","de0e5b10-2bf7-47d3-bab3-d40bd029792f","Configuration Profile / Settings Catalog: WIN-CFG-Default_Apps [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Defender_Exclusions [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Disable_Troubleshooting_Wizards [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Block_Extension [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Extension_silent_install [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Favorites [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Intranet&Trusted_Sites [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Login&Sync [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Firewall [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Local_Admin [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Location_notification [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Lockscreen_Image [Include] | Configuration Profile / Settings Catalog: WIN-CFG-OneDrive_Sync [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Powersettings [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Prevent_User_from_Installing_Printer_Driver [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Printer_settings [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Trusted_Network-Shares [Include] | Configuration Profile / Settings Catalog: WIN-CFG_CIS (BL) BitLocker - Windows 11 Intune 4.0.0 [Include] | Configuration Profile / Settings Catalog: WIN-CFG_CIS (L2) Windows 11 Baseline 4.0.0 [Include] | Configuration Profile / Settings Catalog: WIN-CFG_UIA_Windows_11_Baseline_(25H2) [Include] | Configuration Profile / Settings Catalog: WIN-CFG_View_SharePoint_files_with_File_Explorer [Include] | Configuration Profile / Settings Catalog: WIN_CFG_Windows_Hello_Kerberos [Include] | Classic Device Configuration: WIN_CFG-Disable_Cortana [Include] | Classic Device Configuration: WIN-CFG-AppLocker_EXE [Include] | Classic Device Configuration: WIN-CFG-AppLocker_MSI [Include] | Classic Device Configuration: WIN-CFG-Block_Enrollment_without_Internet [Include] | Classic Device Configuration: WIN-CFG-Microsoft_Defender_ATP [Include] | Classic Device Configuration: WIN-CFG-Microsoft_Store [Include] | Compliance Policy: Win10 - Compliance [Include] | Mobile App: 7-Zip 26.01 [Include] <required> | Mobile App: Citrix Workspace 2405 [Include] <available | required> | Mobile App: Citrix Workspace App [Include] <available | required> | Mobile App: Cofense Reporter [Include] <uninstall> | Mobile App: DG Tools [Include] <required> | Mobile App: DonHo_Notepad++ [Include] <available> | Mobile App: Efficient Elements for presentations [Include] <required> | Mobile App: Etops AssetManagerPro-PROD [Include] <available> | Mobile App: Greenshot [Include] <available> | Mobile App: Kofax Power PDF-Advanced [Include] <available> | Mobile App: Kofax_Power-PDF-Advanced [Include] <available> | Mobile App: Paint.NET [Include] <available> | Mobile App: SwyxIt! 12.41 [Include] <available | required | uninstall> | Mobile App: TeamViewer [Include] <required> | Mobile App: WCK Standard Fonts [Include] <required> | Mobile App: Win11 - Config - Verknüpfungen [Include] <required> | Device Health Script: Restart stopped Office C2R svc [Include] | Device Health Script: Adobe Acrobat deactivate Outlook Cloud Storage [Include] | Device Health Script: Bootorder - only analyze [Include] | Device Health Script: Disable SHIFT+F10 CMD [Include] | Device Health Script: WIN-REM Disable New Outlook Migration Toggle [Include] | Device Health Script: WIN-REM-Remove_Lenovo_Update_Task [Include] | Device Health Script: Adobe Acrobat Reader - Enable AutoUpdate [Include] | Device Health Script: WIN-REM Disable ShowGlobalPrompts [Include]"
"DG-WIN-IN-Autopatch - Ring1","ac9b370b-58db-40b2-9687-9ab12d86e0df","Configuration Profile / Settings Catalog: WIN-CFG-Bitlocker_Basic_Settings 2 [Include] | Configuration Profile / Settings Catalog: WIN-CFG_CIS (BL) BitLocker - Windows 11 Intune 4.0.0 [Exclude] | Configuration Profile / Settings Catalog: Windows Autopatch Edge Update Policy - DG-WIN-IN-Autopatch - Ring1 [Include] | Configuration Profile / Settings Catalog: Windows Autopatch Microsoft 365 Apps Update Policy - DG-WIN-IN-Autopatch - Ring1 [Include] | Classic Device Configuration: Windows Autopatch Update Policy - DG-WIN-IN-Autopatch - Ring1 [Include]"
"grp_o365_MDM_DLP_Testgroup","703e1493-28fc-4c18-bf52-ef3f86bc33f1","iOS Managed App Protection: App Protection For Managed iOS Devices [Exclude]"
"Windows Autopatch - Devices All","f43fe28c-2b3b-4d60-a435-455fcd0cbbd4","Proactive Remediation / Device Management Script: Modern Workplace - Autopatch Client Setup v2 [Include]"
"Lizenz - PrintToPDF Outlook PlugIn - Pro Version","6a9c5363-4604-4285-9d32-36bb4566fdf4","Mobile App: SaveAsPDF [Exclude] <available | uninstall>"
"Office 365 - Gruppe der Test User für Intune","da48f79c-70fc-4717-924c-f2f48bcf606f","Mobile App: ClickShare [Include] <required>"
"grp_o365_intune_iOS_Test_OneNoteOneDrive","aa351989-1aea-4de0-a1b6-4da426f49555","iOS Managed App Protection: App Protection For Managed iOS Devices [Include]"
"DG-INAPP-Citrix Secure Access-Required","0ce80b12-dca4-487d-b100-5b558a5a7201","Mobile App: Citrix Secure Access [Include] <available | required>"
"DG-IN-DG_Test_Devices_CSA","f2671a8c-fddf-4433-bdd9-a74aca5a5fac","Mobile App: Citrix Secure Access [Include] <available | required>"
"DG-WIN-IN-Autopatch - Last","0b7611f3-0044-4485-86f9-e5e4256a8550","Configuration Profile / Settings Catalog: Windows Autopatch Edge Update Policy - DG-WIN-IN-Autopatch - Last [Include] | Configuration Profile / Settings Catalog: Windows Autopatch Microsoft 365 Apps Update Policy - DG-WIN-IN-Autopatch - Last [Include] | Classic Device Configuration: Windows Autopatch Update Policy - DG-WIN-IN-Autopatch - Last [Include]"
"grp_0365_Intune_DLP_Testgroup","165bbee3-b0fe-40b6-a597-16c950a9b542","Compliance Policy: Win10 -Test- Purview for endpoint  [Include]"
"DG-INAPP-Panasonic_Driver-001-P","76ef2cfb-2f30-43cd-91b7-a2566e821e48","Mobile App: Panasonic ISIS-Drivers [Include] <available>"
"DG-INSCR_Uninstall_Lenovo_Update","5c5f5f63-5aa2-48c5-a697-4acac90dc1fe","Device Health Script: WIN-REM Uninstall ""Lenovo System Update"" [Include]"
"Lizenz - Marketing Schriftarten","21930faa-abce-42d1-b007-98550685eee0","Mobile App: Marketing Fonts [Include] <available | required>"
"DG_IN_CFG_Enable SecureBoot Certificate Updates","bf6a2670-5d76-4ed7-b5d5-7a734c3d2f0c","Configuration Profile / Settings Catalog: WIN-CFG_Enable SecureBoot Certificate Updates [Include]"
"WCK Intune MDM Exclude Tickets","f459ddcf-fb19-46c5-ae3f-b09231b090e1","Classic Device Configuration: Defalut iOS Device Policy [Exclude] | iOS Managed App Protection: App Protection For Managed iOS Devices [Exclude]"
"grp_o365_intune_iOS_PilotUsers","2cf5e84b-6377-4074-bfd2-4f1f5f31d6e9","Classic Device Configuration: Defalut iOS Device Policy [Exclude] | Classic Device Configuration: Pilot iOS restrictions with 0 Update delay [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-COPE [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceSecurity_DevicePasscode-COPE [Include] | Mobile App: Adobe Acrobat Reader für PDF [Include] <available> | Mobile App: Intune-Unternehmensportal [Include] <required> | Mobile App: Microsoft Authenticator [Include] <available | required> | Mobile App: Microsoft Edge [Include] <available | required> | Mobile App: Microsoft Excel [Include] <available> | Mobile App: Microsoft OneDrive [Include] <available | required> | Mobile App: Microsoft OneNote [Include] <available> | Mobile App: Microsoft Outlook [Include] <available | required> | Mobile App: Microsoft PowerPoint [Include] <available> | Mobile App: Microsoft Teams [Include] <available | required> | Mobile App: Microsoft Word [Include] <available> | iOS Managed App Protection: App Protection For Managed iOS Devices [Include]"
"UG_ROL_LocalAdmin_NW-VM-005","97032e1d-66eb-48e4-95b2-6cae30170cc5","Configuration Profile / Settings Catalog: WIN-CFG-Local_Admin_NW-VM-005 [Include]"
"DG-INAPP-Install_Intex_AutoDNLD","e9b3ee20-3953-4232-9af2-aecda106f832","Mobile App: Intex_AutoDNLD [Include] <available>"
"DD-IN-All_VMs","5a9dff3e-4ef0-4c85-98f6-b78a1688d2f8","Device Health Script: WIN-REM-EnableCertPaddingCheck [Include]"
"WCK_Intune_iOS_Tests","8ba7af97-cbcd-4eec-a041-a107cba5f0e3","Mobile App: Intune-Unternehmensportal [Include] <required> | iOS Managed App Protection: Test Adobe Reader App protection Policy [Include] | iOS Managed App Protection: App Protection For Managed iOS Devices [Exclude]"
"Sicherheitseinstellungen - Lokale Drucker am Client zulassen","251a9111-8ff7-42b2-ba35-53ec503a5699","Classic Device Configuration: WIN-CFG-User-Block_Printer [Exclude]"
"DG-WIN-IN-Autopatch - Ring2","abd1cddc-a37f-4a66-ab2c-02ed8ff47072","Configuration Profile / Settings Catalog: Windows Autopatch Edge Update Policy - DG-WIN-IN-Autopatch - Ring2 [Include] | Configuration Profile / Settings Catalog: Windows Autopatch Microsoft 365 Apps Update Policy - DG-WIN-IN-Autopatch - Ring2 [Include] | Classic Device Configuration: Windows Autopatch Update Policy - DG-WIN-IN-Autopatch - Ring2 [Include]"
"grp_o365_intune_iOS_NordAmerica","6574a667-9cea-46e4-9526-077d2c2798ad","Classic Device Configuration: Defalut iOS Device Policy [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-COPE [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceSecurity_DevicePasscode-COPE [Include] | Mobile App: Adobe Acrobat Reader für PDF [Include] <available> | Mobile App: Intune-Unternehmensportal [Include] <required> | Mobile App: Microsoft Authenticator [Include] <available | required> | Mobile App: Microsoft Edge [Include] <available | required> | Mobile App: Microsoft Excel [Include] <available> | Mobile App: Microsoft OneDrive [Include] <available | required> | Mobile App: Microsoft OneNote [Include] <available> | Mobile App: Microsoft Outlook [Include] <available | required> | Mobile App: Microsoft PowerPoint [Include] <available> | Mobile App: Microsoft Teams [Include] <available | required> | Mobile App: Microsoft Word [Include] <available>"
"UG-INAPP-EASY_Capture_Office-001-P","0553669b-ae2d-4b4a-a208-a9b02b41a2cf","Mobile App: EASY Capture Plus Office [Include] <required>"
"Lizenz - Adobe InDesign CC","68ef15fd-2cf3-49e0-8490-9310a344637d","Mobile App: Adobe Creative Cloud [Include] <available> | Mobile App: Adobe InDesign [Include] <available> | Mobile App: Adobe RemoteUpdateManager [Include] <required>"
"Lizenz - Chrome","3c08134f-ed9f-4a69-a804-53caa4f81d32","Mobile App: Google_Chrome [Include] <available>"
"Office 365 - Intune User","661a4855-2ef0-466c-b98a-2cf3be8e5f2b","Configuration Profile / Settings Catalog: WIN-CFG-PreventPersonalOneDriveSync [Include] | Configuration Profile / Settings Catalog: WIN-CFG-User-Autoconfig_Outlook [Include] | Configuration Profile / Settings Catalog: WIN-CFG-User-Edge_Default_Settings_01 [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Windows_Hello_for_Business [Include] | Configuration Profile / Settings Catalog: Windows 10 - Defender [Include] | Classic Device Configuration: WIN-CFG-Proxy_Settings [Include] | Classic Device Configuration: WIN-CFG-User-Block_Printer [Include] | Classic Device Configuration: WIN-CFG-User-Block_USB-Storage [Include] | Mobile App: Adobe Acrobat Reader [Include] <required> | Mobile App: Autodesk DWG TrueView User Part [Include] <available> | Mobile App: Azure Data Studio [Include] <available> | Mobile App: Bing Wallpaper [Include] <available> | Mobile App: ClickShare [Include] <required> | Mobile App: FreePDF [Include] <available> | Mobile App: Jabra Direct [Include] <available | required> | Mobile App: KeePass [Include] <available> | Mobile App: Logitech G Hub [Include] <available> | Mobile App: Nessus Agent [Include] <required> | Mobile App: PowerBI Desktop [Include] <available> | Mobile App: Printix Client [Include] <available | required> | Mobile App: ReinerSCT cyberJACK [Include] <available> | Mobile App: SaveAsPDF [Include] <available | uninstall> | Mobile App: Scan-Software NAPS2 [Include] <available> | Mobile App: SwyxIt! 12.41 [Include] <available | required | uninstall> | Mobile App: Tagetik ACCOUNTING [Include] <available> | Mobile App: Tagetik ACCOUNTING 28.0.0.16 [Include] <available> | Mobile App: Tagetik TAX [Include] <available> | Mobile App: XMLBlueprint [Include] <available> | Proactive Remediation / Device Management Script: WIN-SCR-Office_First_Run_disable [Include] | Device Health Script: CVE-2013-3900 [Include] | Device Health Script: WIN-REM Easy Capture Office Plugin Verknüpfung [Include]"
"grp_o365_intune_Android_PilotUsers_BYOD","c4f2b134-731d-4e20-ab7e-fcb2a9f8bc7b","Classic Device Configuration: DevConf_Test_Android_BYOD_Restrictions [Include] | Classic Device Configuration: DevConf_Test_Android_BYOD_Restrictions_Passcode [Include] | Compliance Policy: DevConf_Android_BYOD_Compliance_OS_version [Include] | Compliance Policy: DevConf_Android_BYOD_Compliance_DevicePasscode-Encryption [Include] | Compliance Policy: DevConf_Android_BYOD_Compliance_DeviceRooted [Include] | Compliance Policy: DevConf_Android_BYOD_Compliance_DevelopSetting [Include]"
"DG-INAPP-EASY_Capture_Scan-001-P","7501c751-4ce8-479c-a51c-f7d754bbc0cc","Mobile App: EASY Capture Plus Scan [Include] <required>"
"DG_Bloomberg_Terminal_TEST","f9ac0b9a-a3e4-42be-80ad-ede465e1f4d0","Mobile App: Bloomberg Terminal [Include] <available>"
"# iPhone-/iPad-Nutzer","83164b86-14d5-4977-9559-a0d4e37be703","Classic Device Configuration: Defalut iOS Device Policy [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-COPE [Include] | Compliance Policy: DevCompl_PROD_iOS_DeviceSecurity_DevicePasscode-COPE [Include] | Mobile App: Adobe Acrobat Reader für PDF [Include] <available> | Mobile App: Intune-Unternehmensportal [Include] <required> | Mobile App: Microsoft Authenticator [Include] <available | required> | Mobile App: Microsoft Edge [Include] <available | required> | Mobile App: Microsoft Excel [Include] <available> | Mobile App: Microsoft OneDrive [Include] <available | required> | Mobile App: Microsoft OneNote [Include] <available> | Mobile App: Microsoft Outlook [Include] <available | required> | Mobile App: Microsoft PowerPoint [Include] <available> | Mobile App: Microsoft Teams [Include] <available | required> | Mobile App: Microsoft Word [Include] <available> | iOS Managed App Protection: App Protection For Managed iOS Devices [Include]"
"UG-INAPP-Printix_Test","c690e366-35c3-4799-a628-a107d49157da","Mobile App: Printix Client [Include] <available> | Mobile App: Printix Client [Exclude] <available | required> | Mobile App: Printix Client [Include] <available | uninstall>"
"Lizenz - Adobe Premiere mit After Effects","d389e738-0a2c-4dd9-b2cd-7fd1c2e77fe5","Mobile App: Adobe Creative Cloud [Include] <available>"
"UG-Intune_Test_Tom","85966249-2f9e-427f-9e50-4cd162c6dbfb","Mobile App: Printix Client [Include] <available> | Mobile App: Visio 2013 Professional [Include] <available>"
"Office 365 - Gruppe der Test User für Intune Apps","5feea272-728b-48f5-b500-065f49a3f7f6","Mobile App: Sparkol_VideoScribe_3.14.1_en_x64_01 [Include] <available>"
"Lizenz - WinSCP","c5b982ed-e99e-4b16-836a-6a36502b94e0","Mobile App: WinSCP [Include] <available>"
"grp_PanasonicDriver_Test","f57c2078-6923-4d1a-af8f-293b4a88f4f1","Mobile App: Scanner Panasonic KV-S5076H [Include] <available | required>"
"DG-WIN-IN-Autopatch - Test","6eb1eaa4-5732-49b6-bc78-2233cfa1dee9","Configuration Profile / Settings Catalog: WIN-CFG-Bitlocker_Basic_Settings 2 [Include] | Configuration Profile / Settings Catalog: WIN-CFG_CIS (BL) BitLocker - Windows 11 Intune 4.0.0 [Exclude] | Configuration Profile / Settings Catalog: Windows Autopatch Edge Update Policy - DG-WIN-IN-Autopatch - Test [Include] | Configuration Profile / Settings Catalog: Windows Autopatch Microsoft 365 Apps Update Policy - DG-WIN-IN-Autopatch - Test [Include] | Classic Device Configuration: Windows Autopatch Update Policy - DG-WIN-IN-Autopatch - Test [Include]"
"DD-IN-Install_Win11_Autopilot_DG_TEST","2bb334b0-e70d-4a00-8073-0a5ab97388d7","Configuration Profile / Settings Catalog: WIN-CFG-remove_MS_Store_from_Taskbar [Include] | Mobile App: SwyxIt! 12.41 [Exclude] <available | required | uninstall>"
"DG-WIN-IN-Autopatch - Ring3","6df50670-5f12-47f5-948c-642bc861b84f","Configuration Profile / Settings Catalog: Windows Autopatch Edge Update Policy - DG-WIN-IN-Autopatch - Ring3 [Include] | Configuration Profile / Settings Catalog: Windows Autopatch Microsoft 365 Apps Update Policy - DG-WIN-IN-Autopatch - Ring3 [Include] | Classic Device Configuration: Windows Autopatch Update Policy - DG-WIN-IN-Autopatch - Ring3 [Include]"
"UG-INAPP_Tagetik","811f6c37-b944-4c00-a327-aa254f119d30","Mobile App: Tagetik Excel .NET Client [Include] <available> | Mobile App: Tagetik Excel AddIn [Include] <available>"
"Wireshark - Intune User","7ee1977f-44b2-401f-915e-8572953eef63","Mobile App: winpcap-nmap-4.13.exe [Include] <available> | Mobile App: Wireshark-4.2.4-x64.exe [Include] <available>"
"Sicherheitseinstellungen - Freigabe des USB Ports","91d236f5-b798-4255-ac83-5ad97b171a9b","Classic Device Configuration: WIN-CFG-User-Block_USB-Storage [Exclude]"
"grp_O365_ScanArbeitspl_Software","9193a3b9-233d-4a9b-9e80-1462f9873ec2","Mobile App: Scanner CANON DR-6030C [Include] <available | required> | Mobile App: Scanner Panasonic KV-S5076H [Include] <available | required>"
"grp_o365_intune_iPhoneXS_low_iOS","ac8530c6-00da-4531-84b8-d5c27b01700c","Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-iPhoneXS_COPE [Include]"
"UG-INAPP-Uninstall_Tortoise","95457e71-638a-4267-acbc-7f38fb3922d7","Mobile App: TortoiseSVN [Include] <available | uninstall>"
